date,Beau Lotto + Amy O'Toole,Heather Brooke,Ryan Merkley,Pankaj Ghemawat,Iraola,isPartial
2017-06-01,1,9,0,0,3,False
2017-07-01,1,11,0,0,3,False
2017-08-01,0,10,0,0,3,False
2017-09-01,0,9,0,0,3,False
2017-10-01,0,8,0,0,2,False
2017-11-01,0,13,0,0,2,False
2017-12-01,0,8,1,0,2,False
2018-01-01,0,8,1,0,3,False
2018-02-01,0,8,1,0,2,False
2018-03-01,1,9,1,0,2,False
2018-04-01,0,8,1,0,2,False
2018-05-01,0,7,1,0,2,False
2018-06-01,0,7,4,0,2,False
2018-07-01,0,7,1,0,2,False
2018-08-01,1,7,0,0,2,False
2018-09-01,0,7,1,0,3,False
2018-10-01,0,8,0,0,3,False
2018-11-01,0,7,0,0,2,False
2018-12-01,0,6,1,0,2,False
2019-01-01,0,7,1,0,2,False
2019-02-01,0,6,0,0,3,False
2019-03-01,1,7,0,0,2,False
2019-04-01,0,6,0,0,3,False
2019-05-01,0,8,0,0,2,False
2019-06-01,0,7,0,0,2,False
2019-07-01,0,6,0,0,3,False
2019-08-01,0,6,1,0,3,False
2019-09-01,0,5,3,0,2,False
2019-10-01,0,5,1,0,2,False
2019-11-01,0,5,0,0,2,False
2019-12-01,0,7,1,0,3,False
2020-01-01,0,6,0,0,4,False
2020-02-01,1,5,0,0,8,False
2020-03-01,0,5,0,0,3,False
2020-04-01,0,12,0,0,2,False
2020-05-01,0,8,0,0,2,False
2020-06-01,0,6,0,0,2,False
2020-07-01,0,5,0,0,5,False
2020-08-01,0,6,0,0,4,False
2020-09-01,0,5,0,0,3,False
2020-10-01,0,5,0,0,3,False
